id,timestamp,sepal_length,sepal_width,petal_length,petal_width,target
38940,2024-09-25 02:16:43.825308,5.6,3.0,4.1,1.3,1
38939,2024-09-25 02:16:42.817560,5.7,3.0,4.2,1.2,1
38938,2024-09-25 02:16:41.808786,4.4,3.2,1.3,0.2,0
38937,2024-09-25 02:16:40.799681,5.0,3.4,1.5,0.2,0
38936,2024-09-25 02:16:39.794910,4.9,2.5,4.5,1.7,2
38935,2024-09-25 02:16:38.785593,5.0,3.4,1.5,0.2,0
38934,2024-09-25 02:16:37.776099,4.8,3.4,1.6,0.2,0
38933,2024-09-25 02:16:36.770085,5.0,2.0,3.5,1.0,1
38932,2024-09-25 02:16:35.760422,5.8,2.8,5.1,2.4,2
38931,2024-09-25 02:16:34.754860,6.5,2.8,4.6,1.5,1
38930,2024-09-25 02:16:33.745015,6.3,3.3,6.0,2.5,2
38929,2024-09-25 02:16:32.739758,7.7,2.8,6.7,2.0,2
38928,2024-09-25 02:16:31.728294,6.7,3.0,5.0,1.7,1
38927,2024-09-25 02:16:30.716881,5.3,3.7,1.5,0.2,0
38926,2024-09-25 02:16:29.704478,4.9,3.6,1.4,0.1,0
38925,2024-09-25 02:16:28.692649,6.2,2.9,4.3,1.3,1
38924,2024-09-25 02:16:27.679662,6.9,3.2,5.7,2.3,2
38923,2024-09-25 02:16:26.668921,5.5,2.5,4.0,1.3,1
38922,2024-09-25 02:16:25.657282,5.1,3.8,1.5,0.3,0
38921,2024-09-25 02:16:24.648139,4.9,3.0,1.4,0.2,0
38920,2024-09-25 02:16:23.636024,6.4,3.2,5.3,2.3,2
38919,2024-09-25 02:16:22.629176,4.6,3.2,1.4,0.2,0
38918,2024-09-25 02:16:21.618460,5.1,2.5,3.0,1.1,1
38917,2024-09-25 02:16:20.607462,5.1,3.5,1.4,0.3,0
38916,2024-09-25 02:16:19.594752,5.1,3.7,1.5,0.4,0
38915,2024-09-25 02:16:18.588110,6.7,2.5,5.8,1.8,2
38914,2024-09-25 02:16:17.576611,6.2,2.8,4.8,1.8,2
38913,2024-09-25 02:16:16.566217,5.5,2.3,4.0,1.3,1
38912,2024-09-25 02:16:15.555749,5.8,4.0,1.2,0.2,0
38911,2024-09-25 02:16:14.546539,4.4,3.2,1.3,0.2,0
38910,2024-09-25 02:16:13.538901,7.3,2.9,6.3,1.8,2
38909,2024-09-25 02:16:12.528175,4.9,3.1,1.5,0.2,0
38908,2024-09-25 02:16:11.517979,6.1,2.8,4.7,1.2,1
38907,2024-09-25 02:16:10.509958,5.0,3.0,1.6,0.2,0
38906,2024-09-25 02:16:09.499452,5.4,3.9,1.3,0.4,0
38905,2024-09-25 02:16:08.489046,5.6,2.7,4.2,1.3,1
38904,2024-09-25 02:16:07.477873,5.6,2.7,4.2,1.3,1
38903,2024-09-25 02:16:06.468101,6.9,3.1,5.4,2.1,2
38902,2024-09-25 02:16:05.455462,5.0,3.3,1.4,0.2,0
38901,2024-09-25 02:16:04.448228,6.5,3.0,5.8,2.2,2
38900,2024-09-25 02:16:03.436341,4.6,3.1,1.5,0.2,0
38899,2024-09-25 02:16:02.423568,4.8,3.1,1.6,0.2,0
38898,2024-09-25 02:16:01.412350,5.5,2.5,4.0,1.3,1
38897,2024-09-25 02:16:00.403971,6.5,2.8,4.6,1.5,1
38896,2024-09-25 02:15:59.392442,5.9,3.0,4.2,1.5,1
38895,2024-09-25 02:15:58.384913,6.0,3.0,4.8,1.8,2
38894,2024-09-25 02:15:57.375387,5.6,2.8,4.9,2.0,2
