id,timestamp,sepal_length,sepal_width,petal_length,petal_width,target
35441,2024-09-25 01:17:50.307418,5.2,3.5,1.5,0.2,0
35440,2024-09-25 01:17:49.295216,4.6,3.1,1.5,0.2,0
35439,2024-09-25 01:17:48.284387,7.9,3.8,6.4,2.0,2
35438,2024-09-25 01:17:47.274934,5.5,2.5,4.0,1.3,1
35437,2024-09-25 01:17:46.267103,6.5,3.2,5.1,2.0,2
35436,2024-09-25 01:17:45.260221,5.8,2.7,5.1,1.9,2
35435,2024-09-25 01:17:44.249318,5.9,3.0,4.2,1.5,1
35434,2024-09-25 01:17:43.237309,6.2,2.2,4.5,1.5,1
35433,2024-09-25 01:17:42.230784,6.5,3.0,5.8,2.2,2
35432,2024-09-25 01:17:41.223731,5.6,2.9,3.6,1.3,1
35431,2024-09-25 01:17:40.212360,6.7,2.5,5.8,1.8,2
35430,2024-09-25 01:17:39.201411,5.0,3.3,1.4,0.2,0
35429,2024-09-25 01:17:38.189650,6.7,3.0,5.0,1.7,1
35428,2024-09-25 01:17:37.180046,5.2,4.1,1.5,0.1,0
35427,2024-09-25 01:17:36.172409,6.6,3.0,4.4,1.4,1
35426,2024-09-25 01:17:35.160172,5.1,3.8,1.5,0.3,0
35425,2024-09-25 01:17:34.147067,5.8,2.8,5.1,2.4,2
35424,2024-09-25 01:17:33.139170,7.7,2.8,6.7,2.0,2
35423,2024-09-25 01:17:32.127220,5.0,3.5,1.3,0.3,0
35422,2024-09-25 01:17:31.117701,4.6,3.1,1.5,0.2,0
35421,2024-09-25 01:17:30.106214,5.5,3.5,1.3,0.2,0
35420,2024-09-25 01:17:29.097358,6.5,3.0,5.5,1.8,2
35419,2024-09-25 01:17:28.088209,5.0,3.5,1.3,0.3,0
35418,2024-09-25 01:17:27.079281,6.2,2.9,4.3,1.3,1
35417,2024-09-25 01:17:26.069763,5.5,2.4,3.8,1.1,1
35416,2024-09-25 01:17:25.064750,7.9,3.8,6.4,2.0,2
35415,2024-09-25 01:17:24.054872,6.4,2.8,5.6,2.1,2
35414,2024-09-25 01:17:23.043379,6.9,3.2,5.7,2.3,2
35413,2024-09-25 01:17:22.032996,5.6,3.0,4.5,1.5,1
35412,2024-09-25 01:17:21.021374,6.0,2.2,5.0,1.5,2
35411,2024-09-25 01:17:20.012062,6.7,3.0,5.0,1.7,1
35410,2024-09-25 01:17:19.000059,6.7,3.3,5.7,2.5,2
35409,2024-09-25 01:17:17.988022,6.5,3.0,5.5,1.8,2
35408,2024-09-25 01:17:16.975700,5.1,3.5,1.4,0.2,0
35407,2024-09-25 01:17:15.963872,5.1,2.5,3.0,1.1,1
35406,2024-09-25 01:17:14.952613,5.4,3.4,1.7,0.2,0
35405,2024-09-25 01:17:13.943491,6.8,3.0,5.5,2.1,2
35404,2024-09-25 01:17:12.936924,6.0,2.9,4.5,1.5,1
35403,2024-09-25 01:17:11.926059,6.3,3.3,4.7,1.6,1
35402,2024-09-25 01:17:10.917673,5.7,2.5,5.0,2.0,2
35401,2024-09-25 01:17:09.908795,5.0,3.0,1.6,0.2,0
35400,2024-09-25 01:17:08.901746,5.4,3.7,1.5,0.2,0
35399,2024-09-25 01:17:07.890046,4.3,3.0,1.1,0.1,0
35398,2024-09-25 01:17:06.878714,5.7,2.5,5.0,2.0,2
35397,2024-09-25 01:17:05.867753,5.5,2.4,3.7,1.0,1
35396,2024-09-25 01:17:04.856558,6.5,3.0,5.8,2.2,2
35395,2024-09-25 01:17:03.850398,6.9,3.1,5.1,2.3,2
35394,2024-09-25 01:17:02.843945,6.8,3.0,5.5,2.1,2
35393,2024-09-25 01:17:01.839534,5.6,2.7,4.2,1.3,1
35392,2024-09-25 01:17:00.833103,6.7,3.0,5.0,1.7,1
35391,2024-09-25 01:16:59.822235,5.9,3.0,4.2,1.5,1
35390,2024-09-25 01:16:58.812489,7.7,3.8,6.7,2.2,2
35389,2024-09-25 01:16:57.802203,5.4,3.0,4.5,1.5,1
35388,2024-09-25 01:16:56.794574,4.8,3.0,1.4,0.3,0
35387,2024-09-25 01:16:55.784376,5.8,2.7,3.9,1.2,1
